ticker,marketCap,totalMatchValue,percentPriceChange
AAV,1426442300000.0,780067000000.0,-0.09322034
AAV,566577500000.0,221291500000.0,-0.60280377
AAV,469116100000.0,96366590000.0,-0.17201407
AAV,296646930000.0,65973950000.0,-0.36764705
ADC,85525630000.0,816573600.0,0.105368905
ADC,83138860000.0,223275900.0,-0.027906977
ADC,89503560000.0,203923200.0,0.07655502
ADC,71602850000.0,262875600.0,-0.2
ALT,122191905000.0,1696081700.0,0.019138755
ALT,113013170000.0,1477177500.0,-0.07511737
ALT,110144815000.0,1114650600.0,0.0066301273
ALT,82608610000.0,7613717000.0,-0.25
AMC,71820000000.0,1134858500.0,0.05
AMC,75240000000.0,666206000.0,0.13489227
AMC,66975000000.0,185300000.0,-0.109848484
AMC,64125000000.0,117653700.0,-0.04255319
AME,309960000000.0,31244802000.0,-0.15753424
AME,697640000000.0,12432774000.0,-0.1300813
AME,691120000000.0,5998364700.0,-0.009345794
AME,710680000000.0,3069851000.0,0.028301887
AMV,1056862770000.0,1236117000000.0,-0.19444445
AMV,1061955760000.0,650014560000.0,-0.26928017
AMV,839076150000.0,1022657900000.0,-0.20987654
AMV,432648650000.0,318254020000.0,-0.484375
API,2767128000000.0,713130000000.0,-0.047368422
API,1318590000000.0,263470740000.0,-0.52348065
API,1278076400000.0,572331100000.0,-0.0306277
API,723122200000.0,326052150000.0,-0.43421054
APS,2514900000000.0,3017714200000.0,-0.22900763
APS,1054100000000.0,1828271200000.0,-0.5808581
APS,1120500000000.0,1622641600000.0,0.062992126
APS,705500000000.0,850571360000.0,-0.37037036
ARM,155564150000.0,0.0,0.0
ARM,140007740000.0,5050000.0,-0.1
ARM,123517936000.0,18744000.0,-0.09977324
ARM,155564150000.0,14095800.0,0.25944585
ATS,80850000000.0,927320000.0,-0.23762377
ATS,59500000000.0,48535700.0,-0.26406926
ATS,54250000000.0,16940600.0,-0.0882353
ATS,45150000000.0,33886000.0,-0.16774194
