ticker,marketCap,totalMatchValue,percentPriceChange
VTZ,1340413000000.0,1301675100000.0,0.023255814
VTZ,1287101200000.0,1496694100000.0,-0.039772727
VTZ,1416572800000.0,1611974400000.0,0.10059172
WCS,875250000000.0,6544679000.0,0.29666665
WCS,924750000000.0,9066426000.0,0.05655527
WCS,872990400000.0,6374336500.0,-0.05592331
WSS,246470000000.0,4371380000.0,0.020833334
WSS,241440000000.0,4377984000.0,-0.020408163
WSS,417490000000.0,37478412000.0,0.7291667
X20,269100000000.0,18726887000.0,0.5
X20,225975000000.0,5636414500.0,-0.16025642
X20,239775000000.0,2196760600.0,0.061068702
