ticker,quarter,year,foreignBuyVolumeTotal,foreignSellVolumeTotal,foreignBuyValueTotal,foreignSellValueTotal,foreignNetVolumeTotal,foreignNetValueTotal,foreignBuyVolumeMatched,foreignSellVolumeMatched,foreignBuyValueMatched,foreignSellValueMatched,foreignBuyVolumeDeal,foreignSellVolumeDeal,foreignBuyValueDeal,foreignSellValueDeal,foreignCurrentRoom,foreignTotalRoom,percentForeignTotalRoom,foreignOwned,percentForeignOwned
AAV,1,2022,800.0,4100.0,18760000.0,99260000.0,-3300.0,-80500000.0,800.0,4100.0,18760000.0,99260000.0,0.0,0.0,0.0,0.0,32647056.0,32661528.0,0.48999999699952,14472.0,0.00021711415205
AAV,2,2022,6500.0,0.0,59050000.0,0.0,6500.0,59050000.0,6500.0,0.0,59050000.0,0.0,0.0,0.0,0.0,0.0,32640456.0,32661528.0,0.48999999699952,21072.0,0.0003161297272
AAV,3,2022,200.0,1100.0,1860000.0,7670000.0,-900.0,-5810000.0,200.0,1100.0,1860000.0,7670000.0,0.0,0.0,0.0,0.0,33782443.0,33803953.0,0.48999998709914,21510.0,0.00031179488749
AAV,4,2022,13027.0,11000.0,46940900.0,60700000.0,2027.0,-13759100.0,13027.0,11000.0,46940900.0,60700000.0,0.0,0.0,0.0,0.0,33781016.0,33803953.0,0.48999998709914,22937.0,0.0003324797459
ADC,1,2022,0.0,600.0,0.0,13800000.0,-600.0,-13800000.0,0.0,600.0,0.0,13800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADC,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADC,3,2022,0.0,130.0,0.0,2449000.0,-130.0,-2449000.0,0.0,130.0,0.0,2449000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADC,4,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT,1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2826987.0,0.0,0.0,-2826987.0,-0.45799537725497
ALT,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2826987.0,3024536.0,0.48999995625775,197549.0,0.03200457900278
ALT,3,2022,0.0,200.0,0.0,4180000.0,-200.0,-4180000.0,0.0,200.0,0.0,4180000.0,0.0,0.0,0.0,0.0,2827187.0,3024536.0,0.48999995625775,197349.0,0.03197217734142
ALT,4,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2827187.0,3024536.0,0.48999995625775,197349.0,0.03197217734142
AMC,1,2022,8800.0,5000.0,220060000.0,127000000.0,3800.0,93060000.0,8800.0,5000.0,220060000.0,127000000.0,0.0,0.0,0.0,0.0,1232900.0,1396500.0,0.49,163600.0,0.05740350877192
AMC,2,2022,1600.0,14000.0,39530000.0,327400000.0,-12400.0,-287870000.0,1600.0,14000.0,39530000.0,327400000.0,0.0,0.0,0.0,0.0,1245300.0,1396500.0,0.49,151200.0,0.05305263157894
AMC,3,2022,500.0,3900.0,10350000.0,86200000.0,-3400.0,-75850000.0,500.0,3900.0,10350000.0,86200000.0,0.0,0.0,0.0,0.0,1248700.0,1396500.0,0.49,147800.0,0.0518596491228
AMC,4,2022,0.0,100.0,0.0,2260000.0,-100.0,-2260000.0,0.0,100.0,0.0,2260000.0,0.0,0.0,0.0,0.0,1248800.0,1396500.0,0.49,147700.0,0.0518245614035
AME,1,2022,1100.0,17400.0,13420000.0,215100000.0,-16300.0,-201680000.0,1100.0,17400.0,13420000.0,215100000.0,0.0,0.0,0.0,0.0,11131435.0,12600000.0,0.5,1468565.0,0.05827638888888
AME,2,2022,2300.0,600.0,24760000.0,6360000.0,1700.0,18400000.0,2300.0,600.0,24760000.0,6360000.0,0.0,0.0,0.0,0.0,31129735.0,32600000.0,0.5,1470265.0,0.02255007668711
AME,3,2022,2000.0,11100.0,21000000.0,117420000.0,-9100.0,-96420000.0,2000.0,11100.0,21000000.0,117420000.0,0.0,0.0,0.0,0.0,31138835.0,32600000.0,0.5,1461165.0,0.02241050613496
AME,4,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31138835.0,32600000.0,0.5,1461165.0,0.02241050613496
AMV,1,2022,0.0,34600.0,0.0,447120000.0,-34600.0,-447120000.0,0.0,34600.0,0.0,447120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMV,2,2022,0.0,13400.0,0.0,111500000.0,-13400.0,-111500000.0,0.0,13400.0,0.0,111500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMV,3,2022,0.0,11200.0,0.0,84760000.0,-11200.0,-84760000.0,0.0,11200.0,0.0,84760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMV,4,2022,0.0,9226.0,0.0,38167800.0,-9226.0,-38167800.0,0.0,9226.0,0.0,38167800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
API,1,2022,12700.0,6100.0,894130000.0,431080000.0,6600.0,463050000.0,5700.0,2900.0,378090000.0,190310000.0,0.0,0.0,0.0,0.0,18683031.0,0.0,0.0,-18683031.0,-0.4888286499215
API,2,2022,3100.0,23016.0,148700000.0,1138033200.0,-19916.0,-989333200.0,100.0,100.0,4020000.0,3000000.0,0.0,0.0,0.0,0.0,18702947.0,18727800.0,0.49,24853.0,0.00065026164311
API,3,2022,27700.0,27800.0,969610000.0,721720000.0,-100.0,247890000.0,27700.0,27800.0,969610000.0,721720000.0,0.0,0.0,0.0,0.0,41136612.0,41201148.0,0.48999999714571,64536.0,0.00076751841516
API,4,2022,39900.0,42580.0,322800000.0,433182000.0,-2680.0,-110382000.0,39900.0,42580.0,322800000.0,433182000.0,0.0,0.0,0.0,0.0,41139292.0,41201148.0,0.48999999714571,61856.0,0.00073564551704
APS,1,2022,513930.0,402200.0,16328771300.0,12527200000.0,111730.0,3801571300.0,513930.0,402200.0,16328771300.0,12527200000.0,0.0,0.0,0.0,0.0,82227254.0,83000000.0,1.0,772746.0,0.00931019277108
APS,2,2022,255201.0,180401.0,4638689000.0,3712748900.0,74800.0,925940100.0,255201.0,180401.0,4638689000.0,3712748900.0,0.0,0.0,0.0,0.0,82152354.0,83000000.0,1.0,847646.0,0.01021260240963
APS,3,2022,256901.0,464300.0,4441004900.0,7261750000.0,-207399.0,-2820745100.0,256901.0,464300.0,4441004900.0,7261750000.0,0.0,0.0,0.0,0.0,82361553.0,83000000.0,1.0,638447.0,0.00769213253012
APS,4,2022,120500.0,63300.0,967670000.0,513470000.0,57200.0,454200000.0,120500.0,63300.0,967670000.0,513470000.0,0.0,0.0,0.0,0.0,82304653.0,83000000.0,1.0,695347.0,0.00837767469879
ARM,1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522196.0,1524528.0,0.48999978465475,2332.0,0.00074953001703
ARM,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522196.0,1524528.0,0.48999978465475,2332.0,0.00074953001703
ARM,3,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522196.0,1524528.0,0.48999978465475,2332.0,0.00074953001703
ARM,4,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522196.0,1524528.0,0.48999978465475,2332.0,0.00074953001703
