ticker,quarter,year,foreignBuyVolumeTotal,foreignSellVolumeTotal,foreignBuyValueTotal,foreignSellValueTotal,foreignNetVolumeTotal,foreignNetValueTotal,foreignBuyVolumeMatched,foreignSellVolumeMatched,foreignBuyValueMatched,foreignSellValueMatched,foreignBuyVolumeDeal,foreignSellVolumeDeal,foreignBuyValueDeal,foreignSellValueDeal,foreignCurrentRoom,foreignTotalRoom,percentForeignTotalRoom,foreignOwned,percentForeignOwned
BAB,1,2022,11200.0,17731.0,248750000.0,392087100.0,-6531.0,-143337100.0,11200.0,17731.0,248750000.0,392087100.0,0.0,0.0,0.0,0.0,225923938.0,225940650.0,0.3,16712.0,2.218989809e-05
BAB,2,2022,2500.0,9100.0,40000000.0,175820000.0,-6600.0,-135820000.0,2500.0,9100.0,40000000.0,175820000.0,0.0,0.0,0.0,0.0,225930538.0,225940650.0,0.3,10112.0,1.34265348e-05
BAB,3,2022,500.0,1000.0,8420000.0,16060000.0,-500.0,-7640000.0,500.0,1000.0,8420000.0,16060000.0,0.0,0.0,0.0,0.0,244005184.0,244015902.0,0.3,10718.0,1.317701007e-05
BAB,4,2022,804.0,100.0,11011600.0,1330000.0,704.0,9681600.0,804.0,100.0,11011600.0,1330000.0,0.0,0.0,0.0,0.0,244004780.0,244015902.0,0.3,11122.0,1.367369901e-05
BAX,1,2022,89300.0,9000.0,6851190000.0,675870000.0,80300.0,6175320000.0,89300.0,9000.0,6851190000.0,675870000.0,0.0,0.0,0.0,0.0,2792312.0,4018000.0,0.49,1225688.0,0.14947414634146
BAX,2,2022,132900.0,13900.0,10674590000.0,1140050000.0,119000.0,9534540000.0,132900.0,13900.0,10674590000.0,1140050000.0,0.0,0.0,0.0,0.0,2665512.0,4018000.0,0.49,1352488.0,0.1649375609756
BAX,3,2022,45100.0,13400.0,3540450000.0,1047330000.0,31700.0,2493120000.0,45100.0,13400.0,3540450000.0,1047330000.0,0.0,0.0,0.0,0.0,2635212.0,4018000.0,0.49,1382788.0,0.16863268292682
BAX,4,2022,30600.0,2200.0,2243390000.0,162090000.0,28400.0,2081300000.0,30600.0,2200.0,2243390000.0,162090000.0,0.0,0.0,0.0,0.0,2604012.0,4018000.0,0.49,1413988.0,0.1724375609756
BBS,1,2022,2200.0,0.0,31020000.0,0.0,2200.0,31020000.0,2200.0,0.0,31020000.0,0.0,0.0,0.0,0.0,0.0,2903675.0,2940000.0,0.49,36325.0,0.00605416666666
BBS,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2903675.0,2940000.0,0.49,36325.0,0.00605416666666
