ticker,quarter,year,foreignBuyVolumeTotal,foreignSellVolumeTotal,foreignBuyValueTotal,foreignSellValueTotal,foreignNetVolumeTotal,foreignNetValueTotal,foreignBuyVolumeMatched,foreignSellVolumeMatched,foreignBuyValueMatched,foreignSellValueMatched,foreignBuyVolumeDeal,foreignSellVolumeDeal,foreignBuyValueDeal,foreignSellValueDeal,foreignCurrentRoom,foreignTotalRoom,percentForeignTotalRoom,foreignOwned,percentForeignOwned
VTZ,1,2022,18000.0,27400.0,223620000.0,342240000.0,-9400.0,-118620000.0,12200.0,10500.0,149780000.0,125350000.0,0.0,0.0,0.0,0.0,10183500.0,0.0,0.0,-10183500.0,-0.509175
VTZ,2,2022,12900.0,17900.0,135560000.0,198910000.0,-5000.0,-63350000.0,3000.0,300.0,27900000.0,3120000.0,0.0,0.0,0.0,0.0,10188500.0,10200000.0,0.51,11500.0,0.000575
VTZ,3,2022,3900.0,400.0,31070000.0,3800000.0,3500.0,27270000.0,3900.0,400.0,31070000.0,3800000.0,0.0,0.0,0.0,0.0,10185000.0,10200000.0,0.51,15000.0,0.00075
VTZ,4,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11712750.0,11730000.0,0.51,17250.0,0.00075
WCS,1,2022,3100.0,4500.0,576300000.0,834370000.0,-1400.0,-258070000.0,3100.0,4500.0,576300000.0,834370000.0,0.0,0.0,0.0,0.0,529856.0,1225000.0,0.49,695144.0,0.2780576
WCS,2,2022,11100.0,6200.0,1939500000.0,1055980000.0,4900.0,883520000.0,11100.0,6200.0,1939500000.0,1055980000.0,0.0,0.0,0.0,0.0,524856.0,1225000.0,0.49,700144.0,0.2800576
WCS,3,2022,6400.0,3400.0,1095170000.0,554540000.0,3000.0,540630000.0,6400.0,3400.0,1095170000.0,554540000.0,0.0,0.0,0.0,0.0,521756.0,1225000.0,0.49,703244.0,0.2812976
WCS,4,2022,5700.0,1500.0,921310000.0,237670000.0,4200.0,683640000.0,5700.0,1500.0,921310000.0,237670000.0,0.0,0.0,0.0,0.0,517656.0,1225000.0,0.49,707344.0,0.2829376
WSS,1,2022,19000.0,24600.0,237400000.0,405460000.0,-5600.0,-168060000.0,19000.0,24600.0,237400000.0,405460000.0,0.0,0.0,0.0,0.0,23600200.0,24647000.0,0.49,1046800.0,0.02081113320079
WSS,2,2022,1100.0,7700.0,13840000.0,95230000.0,-6600.0,-81390000.0,1100.0,7700.0,13840000.0,95230000.0,0.0,0.0,0.0,0.0,23606800.0,24647000.0,0.49,1040200.0,0.02067992047713
WSS,3,2022,0.0,3200.0,0.0,24440000.0,-3200.0,-24440000.0,0.0,3200.0,0.0,24440000.0,0.0,0.0,0.0,0.0,23610000.0,24647000.0,0.49,1037000.0,0.02061630218687
WSS,4,2022,10200.0,700.0,36840000.0,2850000.0,9500.0,33990000.0,10200.0,700.0,36840000.0,2850000.0,0.0,0.0,0.0,0.0,23600500.0,24647000.0,0.49,1046500.0,0.02080516898608
X20,1,2022,21600.0,6600.0,299070000.0,75920000.0,15000.0,223150000.0,21000.0,0.0,291270000.0,0.0,0.0,0.0,0.0,0.0,8419100.0,0.0,0.0,-8419100.0,-0.48806376811594
X20,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8419100.0,8452500.0,0.49,33400.0,0.00193623188405
X20,3,2022,100.0,0.0,870000.0,0.0,100.0,870000.0,100.0,0.0,870000.0,0.0,0.0,0.0,0.0,0.0,8419000.0,8452500.0,0.49,33500.0,0.0019420289855
X20,4,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8419000.0,8452500.0,0.49,33500.0,0.0019420289855
