ticker,quarter,year,foreignBuyVolumeTotal,foreignSellVolumeTotal,foreignBuyValueTotal,foreignSellValueTotal,foreignNetVolumeTotal,foreignNetValueTotal,foreignBuyVolumeMatched,foreignSellVolumeMatched,foreignBuyValueMatched,foreignSellValueMatched,foreignBuyVolumeDeal,foreignSellVolumeDeal,foreignBuyValueDeal,foreignSellValueDeal,foreignCurrentRoom,foreignTotalRoom,percentForeignTotalRoom,foreignOwned,percentForeignOwned
VNC,1,2022,5400.0,5700.0,181640000.0,221000000.0,-300.0,-39360000.0,5400.0,5700.0,181640000.0,221000000.0,0.0,0.0,0.0,0.0,4859640.0,5144977.0,0.48999990952342,285337.0,0.02717506884553
VNC,2,2022,0.0,100.0,0.0,6400000.0,-100.0,-6400000.0,0.0,100.0,0.0,6400000.0,0.0,0.0,0.0,0.0,4859740.0,5144977.0,0.48999990952342,285237.0,0.02716554499519
VNC,3,2022,200.0,0.0,7100000.0,0.0,200.0,7100000.0,200.0,0.0,7100000.0,0.0,0.0,0.0,0.0,0.0,4859740.0,5144977.0,0.48999990952342,285237.0,0.02716554499519
VNC,4,2022,1350.0,60000.0,46070000.0,2030500000.0,-58650.0,-1984430000.0,1350.0,60000.0,46070000.0,2030500000.0,0.0,0.0,0.0,0.0,4918190.0,5144977.0,0.48999990952342,226787.0,0.02159885447128
VNF,1,2022,20000.0,2325.0,543140000.0,59007000.0,17675.0,484133000.0,20000.0,2200.0,543140000.0,56550000.0,0.0,125.0,0.0,2457000.0,12836760.0,12937078.0,0.48999998144094,100318.0,0.00379960746454
VNF,2,2022,1800.0,15800.0,46500000.0,365520000.0,-14000.0,-319020000.0,1800.0,15800.0,46500000.0,365520000.0,0.0,0.0,0.0,0.0,12851060.0,12937078.0,0.48999998144094,86018.0,0.00325798595351
VNF,3,2022,15100.0,9700.0,246850000.0,175460000.0,5400.0,71390000.0,15100.0,9700.0,246850000.0,175460000.0,0.0,0.0,0.0,0.0,15415585.0,15522945.0,0.48999999368676,107360.0,0.0033889445155
VNF,4,2022,8900.0,1176.0,80010000.0,14246900.0,7724.0,65763100.0,8900.0,1176.0,80010000.0,14246900.0,0.0,0.0,0.0,0.0,15425597.0,15540781.0,0.48999999369401,115184.0,0.0036317453591
VNR,1,2022,91000.0,19086.0,2764420000.0,580987200.0,71914.0,2183432800.0,91000.0,19086.0,2764420000.0,580987200.0,0.0,0.0,0.0,0.0,33002148.0,73861193.0,0.48999999535615,40859045.0,0.27106158250458
VNR,2,2022,46250.0,30700.0,1251420000.0,815660000.0,15550.0,435760000.0,46250.0,30700.0,1251420000.0,815660000.0,0.0,0.0,0.0,0.0,32977998.0,73861193.0,0.48999999535615,40883195.0,0.27122179518742
VNR,3,2022,33520.0,43877.0,811610000.0,1097653900.0,-10357.0,-286043900.0,33520.0,43877.0,811610000.0,1097653900.0,0.0,0.0,0.0,0.0,32992955.0,73861193.0,0.48999999535615,40868238.0,0.27112256946911
VNR,4,2022,59695.0,23554.0,1264476600.0,517603600.0,36141.0,746873000.0,59695.0,23554.0,1264476600.0,517603600.0,0.0,0.0,0.0,0.0,32956714.0,73861193.0,0.48999999535615,40904479.0,0.27136299463841
VNT,1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116407.0,5855012.0,0.48999996233996,1738605.0,0.14550207318517
VNT,2,2022,0.0,400.0,0.0,34000000.0,-400.0,-34000000.0,0.0,400.0,0.0,34000000.0,0.0,0.0,0.0,0.0,4116807.0,5855012.0,0.48999996233996,1738205.0,0.14546859759452
VNT,3,2022,0.0,3000.0,0.0,219000000.0,-3000.0,-219000000.0,0.0,3000.0,0.0,219000000.0,0.0,0.0,0.0,0.0,4116807.0,5855012.0,0.48999996233996,1738205.0,0.14546859759452
VNT,4,2022,0.0,100.0,0.0,7020000.0,-100.0,-7020000.0,0.0,100.0,0.0,7020000.0,0.0,0.0,0.0,0.0,4119907.0,5855012.0,0.48999996233996,1735105.0,0.14520916176702
VSA,1,2022,0.0,2200.0,0.0,63540000.0,-2200.0,-63540000.0,0.0,200.0,0.0,5800000.0,0.0,0.0,0.0,0.0,6319775.0,0.0,0.0,-6319775.0,-0.44832272383344
VSA,2,2022,0.0,300.0,0.0,10170000.0,-300.0,-10170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6320075.0,6907278.0,0.48999999006844,587203.0,0.04165598433538
VSA,3,2022,0.0,5400.0,0.0,145800000.0,-5400.0,-145800000.0,0.0,5400.0,0.0,145800000.0,0.0,0.0,0.0,0.0,6325475.0,6907278.0,0.48999999006844,581803.0,0.04127291014228
VSA,4,2022,500.0,200.0,13550000.0,5400000.0,300.0,8150000.0,500.0,200.0,13550000.0,5400000.0,0.0,0.0,0.0,0.0,6325175.0,6907278.0,0.48999999006844,582103.0,0.0412941920419
VSM,1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484100.0,1494500.0,0.49,10400.0,0.00340983606557
VSM,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484100.0,1494500.0,0.49,10400.0,0.00340983606557
VSM,3,2022,800.0,0.0,19200000.0,0.0,800.0,19200000.0,800.0,0.0,19200000.0,0.0,0.0,0.0,0.0,0.0,1483300.0,1494500.0,0.49,11200.0,0.00367213114754
VSM,4,2022,21100.0,0.0,403380000.0,0.0,21100.0,403380000.0,21100.0,0.0,403380000.0,0.0,0.0,0.0,0.0,0.0,1462200.0,1494500.0,0.49,32300.0,0.01059016393442
VTC,1,2022,12336.0,65150.0,200352400.0,1014410000.0,-52814.0,-814057600.0,12336.0,65150.0,200352400.0,1014410000.0,0.0,0.0,0.0,0.0,1656217.0,2222001.0,0.48999999117912,565784.0,0.12476779038771
VTC,2,2022,38100.0,24457.0,609610000.0,361813300.0,13643.0,247796700.0,38100.0,24455.0,609610000.0,361785500.0,0.0,2.0,0.0,27800.0,1626763.0,2222001.0,0.48999999117912,595238.0,0.13126304387328
VTC,3,2022,0.0,4600.0,0.0,65640000.0,-4600.0,-65640000.0,0.0,4600.0,0.0,65640000.0,0.0,0.0,0.0,0.0,1647138.0,2222001.0,0.48999999117912,574863.0,0.12676990916259
VTC,4,2022,300.0,1034.0,3300000.0,11068000.0,-734.0,-7768000.0,300.0,1034.0,3300000.0,11068000.0,0.0,0.0,0.0,0.0,1647794.0,2222001.0,0.48999999117912,574207.0,0.12662524676406
VTH,1,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439400.0,2450000.0,0.49,10600.0,0.00212
VTH,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439400.0,2450000.0,0.49,10600.0,0.00212
VTH,3,2022,3100.0,0.0,23870000.0,0.0,3100.0,23870000.0,3100.0,0.0,23870000.0,0.0,0.0,0.0,0.0,0.0,3851146.0,3870994.0,0.4899999227847,19848.0,0.00251240856158
VTH,4,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTJ,1,2022,100.0,1100.0,720000.0,9240000.0,-1000.0,-8520000.0,100.0,1100.0,720000.0,9240000.0,0.0,0.0,0.0,0.0,5574600.0,5586000.0,0.49,11400.0,0.001
VTJ,2,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5574600.0,5586000.0,0.49,11400.0,0.001
VTJ,3,2022,2700.0,0.0,11610000.0,0.0,2700.0,11610000.0,2700.0,0.0,11610000.0,0.0,0.0,0.0,0.0,0.0,5571900.0,5586000.0,0.49,14100.0,0.00123684210526
VTJ,4,2022,0.0,100.0,0.0,260000.0,-100.0,-260000.0,0.0,100.0,0.0,260000.0,0.0,0.0,0.0,0.0,5572000.0,5586000.0,0.49,14000.0,0.00122807017543
VTV,1,2022,23600.0,7800.0,201370000.0,70450000.0,15800.0,130920000.0,23600.0,7800.0,201370000.0,70450000.0,0.0,0.0,0.0,0.0,15174764.0,15287914.0,0.48999999198713,113150.0,0.00362662290573
VTV,2,2022,115000.0,20700.0,860650000.0,148140000.0,94300.0,712510000.0,115000.0,20700.0,860650000.0,148140000.0,0.0,0.0,0.0,0.0,15081464.0,15287914.0,0.48999999198713,206450.0,0.0066170242942
VTV,3,2022,43700.0,89200.0,242360000.0,559140000.0,-45500.0,-316780000.0,43700.0,89200.0,242360000.0,559140000.0,0.0,0.0,0.0,0.0,15125964.0,15287914.0,0.48999999198713,161950.0,0.0051907342429
VTV,4,2022,41900.0,44000.0,212790000.0,195520000.0,-2100.0,17270000.0,41900.0,44000.0,212790000.0,195520000.0,0.0,0.0,0.0,0.0,15128064.0,15287914.0,0.48999999198713,159850.0,0.00512342617306
