timestamp,port_gross_ret,turnover,cost,port_net_ret,bench_ret
2022-07-25,0.0,0.0,0.0,0.0,-0.004046715092804209
2022-07-26,0.0,0.0,0.0,0.0,0.0033862991967406443
2022-07-27,0.0,0.0,0.0,0.0,0.012008095750428386
2022-07-28,0.0,0.0,0.0,0.0,-0.0016373290300543946
2022-07-29,0.0,0.0,0.0,0.0,0.010518288649369803
2022-08-01,0.0,0.0,0.0,0.0,0.007305337448852853
2022-08-02,0.0,0.0,0.0,0.0,0.0062059962519031295
2022-08-03,0.0,0.0,0.0,0.0,0.0023902895368715887
2022-08-04,0.0,0.0,0.0,0.0,0.00369455242837718
2022-08-05,0.0,0.0,0.0,0.0,0.0036887431863175902
2022-08-08,0.0,0.0,0.0,0.0,0.007186255035760539
2022-08-09,0.0,0.0,0.0,0.0,0.002824943391183589
2022-08-10,0.0,0.0,0.0,0.0,-0.005571513602159007
2022-08-11,0.0,0.0,0.0,0.0,0.004631036833583227
2022-08-12,0.0,0.0,0.0,0.0,0.001151517459297681
2022-08-15,0.0,0.0,0.0,0.0,-0.0011748903907221847
2022-08-16,0.0,0.0,0.0,0.0,-0.002771670889334642
2022-08-17,0.0,0.0,0.0,0.0,-8.281504357796606e-05
2022-08-18,0.0,0.0,0.0,0.0,-0.00513082603765833
2022-08-19,0.0,0.0,0.0,0.0,-0.006236160723773302
2022-08-22,0.0,0.0,0.0,0.0,0.008202630651651688
2022-08-23,0.0,0.0,0.0,0.0,0.002932100441241605
2022-08-24,0.0,0.0,0.0,0.0,0.003994245298789277
2022-08-25,0.0,0.0,0.0,0.0,-0.001008263557378119
2022-08-26,0.0,0.0,0.0,0.0,-0.007118511144402653
2022-08-29,0.0,0.0,0.0,0.0,0.0028768862165742337
2022-08-30,0.0,0.0,0.0,0.0,0.0021933863911311213
2022-08-31,0.0,0.0,0.0,0.0,-0.003258034499895354
2022-09-05,0.0,0.0,0.0,0.0,0.0013690698989215447
2022-09-06,0.0,0.0,0.0,0.0,-0.01462876752757049
2022-09-07,0.0,0.0,0.0,0.0,-0.004604498279836482
2022-09-08,0.0,0.0,0.0,0.0,0.0031287828733673083
2022-09-09,0.0,0.0,0.0,0.0,-0.00011537040485159053
2022-09-12,0.0,0.0,0.0,0.0,0.005025549452581793
2022-09-13,0.0,0.0,0.0,0.0,-0.004300928376623267
2022-09-14,0.0,0.0,0.0,0.0,-0.00033699873519473433
2022-09-15,0.0,0.0,0.0,0.0,-0.008364779034400421
2022-09-16,0.0,0.0,0.0,0.0,-0.015420984637440432
2022-09-19,0.0,0.0,0.0,0.0,0.00654777737550087
2022-09-20,0.0,0.0,0.0,0.0,-0.00046408805927608825
2022-09-21,0.0,0.0,0.0,0.0,0.001477469154722697
2022-09-22,0.0,0.0,0.0,0.0,-0.0007785657804111122
2022-09-23,0.0,0.0,0.0,0.0,-0.016519859639842358
2022-09-26,0.0,0.0,0.0,0.0,4.8535211481901525e-05
2022-09-27,0.0,0.0,0.0,0.0,-0.006151915545722235
2022-09-28,0.0,0.0,0.0,0.0,-0.002725739828750968
2022-09-29,0.0,0.0,0.0,0.0,-0.0035301758148161668
2022-09-30,0.0,0.0,0.0,0.0,-0.02083592892009971
2022-10-03,0.0,0.0,0.0,0.0,-0.0066212864224222
2022-10-04,0.0,0.0,0.0,0.0,0.009138390962937542
2022-10-05,0.0,0.0,0.0,0.0,-0.01620978811612102
2022-10-06,0.0,0.0,0.0,0.0,-0.022801617559626886
2022-10-07,0.0,0.0,0.0,0.0,-0.0007258029010240311
2022-10-10,0.0,0.0,0.0,0.0,-0.023992015686485863
2022-10-11,0.0,0.0,0.0,0.0,0.009845083572084372
2022-10-12,0.0,0.0,0.0,0.0,-0.0015167306318524195
2022-10-13,0.0,0.0,0.0,0.0,0.008560379226474943
2022-10-14,0.0,0.0,0.0,0.0,9.80599731560059e-05
2022-10-17,0.0,0.0,0.0,0.0,0.00915155975394293
2022-10-18,0.0,0.0,0.0,0.0,-0.0038520951353269817
2022-10-19,0.0,0.0,0.0,0.0,-0.0044540071662092125
2022-10-20,0.0,0.0,0.0,0.0,-0.022374670230159845
2022-10-21,0.0,0.0,0.0,0.0,-0.025935079245329253
2022-10-24,0.0,0.0,0.0,0.0,-0.010951462521249546
2022-10-25,0.0,0.0,0.0,0.0,-0.008005842596220798
2022-10-26,0.0,0.0,0.0,0.0,0.02037207265173308
2022-10-27,0.0,0.0,0.0,0.0,0.003798707037611977
2022-10-28,0.0,0.0,0.0,0.0,-0.007944237746509928
2022-10-31,0.0,0.0,0.0,0.0,0.005967435179724848
2022-11-01,0.0,0.0,0.0,0.0,-0.002989684636540216
2022-11-02,0.0,0.0,0.0,0.0,-0.004955679657584674
2022-11-03,0.0,0.0,0.0,0.0,-0.013348442724000938
2022-11-04,0.0,0.0,0.0,0.0,-0.024841409154662493
2022-11-07,0.0,0.0,0.0,0.0,-0.0022964544394489376
2022-11-08,0.0,0.0,0.0,0.0,0.0034325847709427712
2022-11-09,0.0,0.0,0.0,0.0,-0.029347889800002535
2022-11-10,0.0,0.0,0.0,0.0,-0.00835885419992929
