timestamp,portfolio,benchmark
2022-07-25,1.0,0.9959532849071958
2022-07-26,1.0,0.9993258807158683
2022-07-27,1.0,1.0113258815773858
2022-07-28,1.0,1.0096700083526338
2022-07-29,1.0,1.0202900089410984
2022-08-01,1.0,1.0277435717521062
2022-08-02,1.0,1.0341217445063173
2022-08-03,1.0,1.0365935948920622
2022-08-04,1.0,1.0404233442753108
2022-08-05,1.0,1.044261198797392
2022-08-08,1.0,1.0517655260958991
2022-08-09,1.0,1.0547367041679185
2022-08-10,1.0,1.0488602242739506
2022-08-11,1.0,1.0537175346058436
2022-08-12,1.0,1.0549309087441103
2022-08-15,1.0,1.0536914805565512
2022-08-16,1.0,1.0507709945535526
2022-08-17,1.0,1.0506839749078483
2022-08-18,1.0,1.0452930982120407
2022-08-19,1.0,1.0387744824481395
2022-08-22,1.0,1.047295165858022
2022-08-23,1.0,1.0503659404759447
2022-08-24,1.0,1.054561359695699
2022-08-25,1.0,1.0534980839076988
2022-08-26,1.0,1.045998746056795
2022-08-29,1.0,1.0490079654318798
2022-08-30,1.0,1.0513088452274464
2022-08-31,1.0,1.0478836447396502
2022-09-05,1.0,1.0493182706952355
2022-09-06,1.0,1.0339680376508027
2022-09-07,1.0,1.0292071336000337
2022-09-08,1.0,1.032427299252789
2022-09-09,1.0,1.0323081876972944
2022-09-12,1.0,1.0374961035448722
2022-09-13,1.0,1.0330339071125
2022-09-14,1.0,1.03268577599239
2022-09-15,1.0,1.0240475876642452
2022-09-16,1.0,1.008255765546867
2022-09-19,1.0,1.0148575998372331
2022-09-20,1.0,1.014386616543283
2022-09-21,1.0,1.0158853414801894
2022-09-22,1.0,1.0150944079164916
2022-09-23,1.0,0.9983251907765223
2022-09-26,1.0,0.9983736447007843
2022-09-27,1.0,0.9922317343555102
2022-09-28,1.0,0.9895271687978267
2022-09-29,1.0,0.986033963918433
2022-09-30,1.0,0.9654890303334244
2022-10-03,1.0,0.9590962509258801
2022-10-04,1.0,0.9678608474379283
2022-10-05,1.0,0.9521720281750702
2022-10-06,1.0,0.930460965737648
2022-10-07,1.0,0.929785634469426
2022-10-10,1.0,0.9074782029421663
2022-10-11,1.0,0.916412401689977
2022-10-12,1.0,0.9150224509289243
2022-10-13,1.0,0.9228553901096145
